pair_ID	entailment_judgment	relatedness_score
187	NEUTRAL	2.955480885
189	NEUTRAL	2.178896535
190	NEUTRAL	2.883381968
191	NEUTRAL	4.466834179
193	NEUTRAL	4.294232756
195	NEUTRAL	4.366821175
196	NEUTRAL	4.342323007
198	NEUTRAL	4.314024919
199	NEUTRAL	4.447319219
203	NEUTRAL	4.156070318
204	NEUTRAL	4.143841533
206	NEUTRAL	4.083588695
207	NEUTRAL	4.188937618
208	NEUTRAL	4.100999541
209	NEUTRAL	4.01817862
210	NEUTRAL	4.239701906
212	NEUTRAL	4.146470317
213	NEUTRAL	2.864864245
214	NEUTRAL	2.166860784
220	NEUTRAL	4.368283478
221	NEUTRAL	4.400555514
222	NEUTRAL	3.850892689
229	NEUTRAL	4.039654953
230	CONTRADICTION	3.805648175
231	NEUTRAL	4.175920922
235	NEUTRAL	2.208174404
239	NEUTRAL	3.634457855
242	NEUTRAL	4.206235204
243	NEUTRAL	2.089639152
244	NEUTRAL	4.255499693
245	NEUTRAL	4.28638002
246	NEUTRAL	1.792736659
247	NEUTRAL	4.250440202
250	NEUTRAL	4.130153548
251	NEUTRAL	4.242915353
252	NEUTRAL	4.35047622
255	ENTAILMENT	4.614183138
261	NEUTRAL	3.175430417
262	ENTAILMENT	4.096514369
263	ENTAILMENT	4.087784251
264	NEUTRAL	4.334610424
267	ENTAILMENT	4.147229267
268	ENTAILMENT	4.16757377
270	NEUTRAL	4.14360441
271	NEUTRAL	4.464375285
274	NEUTRAL	4.214549257
275	NEUTRAL	4.498019378
278	NEUTRAL	3.900473687
281	NEUTRAL	4.210002024
282	NEUTRAL	4.269799751
284	NEUTRAL	3.290467778
288	NEUTRAL	4.084313253
290	NEUTRAL	4.084313253
292	NEUTRAL	3.929624591
294	NEUTRAL	4.420901568
295	NEUTRAL	3.625811002
297	NEUTRAL	3.34619226
298	NEUTRAL	4.006191613
299	NEUTRAL	3.651406091
300	NEUTRAL	4.28152688
306	NEUTRAL	4.244980937
307	NEUTRAL	4.236428985
308	NEUTRAL	2.991041357
314	CONTRADICTION	4.163241422
316	NEUTRAL	2.963739083
318	NEUTRAL	3.539888602
319	NEUTRAL	2.034645046
320	NEUTRAL	2.887431811
321	NEUTRAL	3.060075254
322	NEUTRAL	3.959442129
324	NEUTRAL	4.02884477
325	NEUTRAL	3.841122538
326	NEUTRAL	1.926048542
328	NEUTRAL	2.018591258
330	NEUTRAL	2.000286869
334	NEUTRAL	4.227869533
336	NEUTRAL	4.152285914
337	NEUTRAL	4.294927835
343	NEUTRAL	4.382012578
345	NEUTRAL	2.851662402
348	NEUTRAL	1.948931712
349	NEUTRAL	3.09718388
350	NEUTRAL	2.096916535
352	CONTRADICTION	4.296528223
353	NEUTRAL	4.33074379
355	CONTRADICTION	4.406311118
356	NEUTRAL	4.200917902
357	CONTRADICTION	4.245957616
359	CONTRADICTION	4.496888582
364	ENTAILMENT	4.343187201
365	ENTAILMENT	4.401310067
368	NEUTRAL	4.325794714
369	NEUTRAL	4.427359492
371	NEUTRAL	4.046715382
376	NEUTRAL	3.422490352
383	NEUTRAL	4.418965794
385	NEUTRAL	4.362306265
386	NEUTRAL	4.417706481
388	NEUTRAL	4.403052936
389	NEUTRAL	4.174789609
399	CONTRADICTION	3.753631039
400	NEUTRAL	4.342315767
401	NEUTRAL	4.344850943
405	NEUTRAL	3.23350079
406	NEUTRAL	4.105254572
407	NEUTRAL	3.73740917
408	NEUTRAL	4.19447989
411	NEUTRAL	3.989085639
412	NEUTRAL	4.04215522
414	NEUTRAL	4.079440977
416	NEUTRAL	4.232255926
418	NEUTRAL	3.595066692
419	NEUTRAL	3.906914286
420	NEUTRAL	3.927742086
421	NEUTRAL	3.747702699
424	NEUTRAL	4.444574071
425	CONTRADICTION	4.474826551
426	NEUTRAL	4.471892118
429	NEUTRAL	4.279186419
430	NEUTRAL	4.358728471
431	CONTRADICTION	4.322385518
432	NEUTRAL	4.357817473
433	NEUTRAL	4.001609729
437	NEUTRAL	4.175124478
443	NEUTRAL	4.459851843
444	NEUTRAL	3.404404597
445	NEUTRAL	4.321443748
448	NEUTRAL	4.176460332
452	NEUTRAL	4.206079535
453	NEUTRAL	4.115256932
455	NEUTRAL	4.108795388
456	NEUTRAL	4.046400166
458	NEUTRAL	3.923083403
459	NEUTRAL	4.030255356
460	CONTRADICTION	4.259976332
463	NEUTRAL	4.01212228
464	NEUTRAL	4.223039407
466	NEUTRAL	4.251296897
467	NEUTRAL	3.728033622
468	NEUTRAL	3.869527163
469	NEUTRAL	3.790103802
471	NEUTRAL	3.810211957
472	NEUTRAL	3.859169506
474	CONTRADICTION	4.241345995
478	NEUTRAL	1.55457531
479	NEUTRAL	1.505067233
480	NEUTRAL	1.589463718
481	NEUTRAL	2.328143773
482	NEUTRAL	4.321542528
483	NEUTRAL	3.902637275
487	NEUTRAL	3.962935625
488	NEUTRAL	4.055288797
490	NEUTRAL	4.0840888
492	NEUTRAL	3.999160145
493	NEUTRAL	4.063591731
495	NEUTRAL	4.401257833
498	NEUTRAL	4.443858306
501	NEUTRAL	4.318220734
502	NEUTRAL	4.362092415
503	NEUTRAL	4.364103179
504	NEUTRAL	3.280126411
509	NEUTRAL	4.410195595
510	NEUTRAL	4.496726707
511	NEUTRAL	4.133522146
512	NEUTRAL	4.106074289
517	NEUTRAL	3.89684883
518	NEUTRAL	4.29270141
519	NEUTRAL	3.999509753
521	NEUTRAL	4.103109343
523	NEUTRAL	4.00931352
525	NEUTRAL	3.955272949
532	NEUTRAL	4.134097758
533	NEUTRAL	4.344722167
534	NEUTRAL	4.049944861
536	NEUTRAL	3.381894178
537	NEUTRAL	3.833364444
539	NEUTRAL	3.965649484
540	NEUTRAL	3.715540821
543	NEUTRAL	3.902628742
544	NEUTRAL	4.004962037
546	NEUTRAL	3.503074764
547	NEUTRAL	4.068294891
549	NEUTRAL	4.080267676
553	NEUTRAL	3.919862974
554	NEUTRAL	4.157727854
558	NEUTRAL	4.540560117
559	NEUTRAL	2.484608144
562	NEUTRAL	3.351964931
563	NEUTRAL	4.028353716
566	NEUTRAL	4.084162756
567	NEUTRAL	4.296409532
569	NEUTRAL	4.021832697
571	NEUTRAL	4.233241138
572	ENTAILMENT	4.17163874
573	NEUTRAL	3.898722027
574	NEUTRAL	4.226640475
575	NEUTRAL	3.894931157
576	NEUTRAL	4.079252468
577	NEUTRAL	4.033283914
578	NEUTRAL	4.087538336
579	NEUTRAL	3.871560165
580	NEUTRAL	4.4512761
582	NEUTRAL	4.538828367
583	NEUTRAL	4.269105965
584	NEUTRAL	4.365165967
585	NEUTRAL	4.375059463
589	NEUTRAL	3.887308563
590	NEUTRAL	4.445887429
591	NEUTRAL	3.586854522
593	ENTAILMENT	4.806574915
594	CONTRADICTION	4.575625397
595	NEUTRAL	4.533788787
596	NEUTRAL	4.310381444
598	NEUTRAL	3.942888495
600	NEUTRAL	4.402736944
602	ENTAILMENT	4.095739128
607	NEUTRAL	4.326922149
608	ENTAILMENT	3.297150671
610	ENTAILMENT	3.945293344
612	NEUTRAL	3.957414557
613	NEUTRAL	4.325269785
614	NEUTRAL	4.167516881
615	NEUTRAL	4.197859348
616	NEUTRAL	4.373013531
618	NEUTRAL	4.169118562
620	NEUTRAL	3.028580011
623	NEUTRAL	3.024189869
624	NEUTRAL	3.294694364
627	NEUTRAL	4.080933277
633	NEUTRAL	4.116172844
635	NEUTRAL	4.057251723
636	NEUTRAL	4.198244641
639	NEUTRAL	4.240207959
640	NEUTRAL	4.156553098
642	NEUTRAL	4.38217678
644	NEUTRAL	3.592118296
652	NEUTRAL	3.949787308
654	NEUTRAL	3.937587743
656	NEUTRAL	4.537112391
658	NEUTRAL	3.637245153
659	NEUTRAL	1.634613589
662	NEUTRAL	3.431965973
664	NEUTRAL	1.578983232
665	ENTAILMENT	4.303862494
666	ENTAILMENT	4.412229115
667	ENTAILMENT	4.508481245
669	NEUTRAL	4.354284156
670	NEUTRAL	4.199226751
673	NEUTRAL	3.995942044
674	NEUTRAL	4.19965652
675	NEUTRAL	4.178254918
677	NEUTRAL	4.163157123
681	NEUTRAL	4.149256839
682	NEUTRAL	4.207344537
683	NEUTRAL	4.130055027
684	NEUTRAL	4.452495591
686	NEUTRAL	4.049433896
688	NEUTRAL	4.155883102
694	NEUTRAL	4.395905622
695	NEUTRAL	3.513225294
700	NEUTRAL	4.007371799
701	NEUTRAL	3.526038742
705	NEUTRAL	4.5916691
706	CONTRADICTION	4.582246747
707	NEUTRAL	3.317049631
708	NEUTRAL	3.349818927
710	CONTRADICTION	4.1930481
711	NEUTRAL	2.880513734
712	NEUTRAL	3.433656866
713	ENTAILMENT	4.200402799
714	ENTAILMENT	4.20355341
716	NEUTRAL	4.568659094
719	NEUTRAL	3.814574818
720	NEUTRAL	3.798681096
721	NEUTRAL	4.126907778
724	NEUTRAL	3.136304046
726	NEUTRAL	3.702147106
739	NEUTRAL	4.362856278
740	NEUTRAL	3.876060335
742	NEUTRAL	3.903812807
743	NEUTRAL	3.902009429
744	NEUTRAL	3.784171842
750	NEUTRAL	3.220871973
751	NEUTRAL	3.633292409
753	NEUTRAL	4.442133021
755	ENTAILMENT	4.342458247
756	NEUTRAL	2.955135155
758	ENTAILMENT	4.408422213
763	ENTAILMENT	4.406165534
767	NEUTRAL	3.891584539
770	NEUTRAL	4.455214363
771	NEUTRAL	3.96221417
773	NEUTRAL	4.351538232
775	NEUTRAL	4.315503513
776	NEUTRAL	3.526121748
778	NEUTRAL	2.277847267
779	NEUTRAL	2.240028823
781	NEUTRAL	4.591886829
782	CONTRADICTION	4.354450168
786	NEUTRAL	3.59231508
787	NEUTRAL	4.051164352
788	NEUTRAL	4.39057022
790	NEUTRAL	4.089829407
794	NEUTRAL	4.477099521
795	NEUTRAL	3.182953973
798	CONTRADICTION	4.225729994
800	NEUTRAL	3.689596382
801	NEUTRAL	3.246105559
803	NEUTRAL	4.053042462
805	NEUTRAL	4.078007119
806	NEUTRAL	3.35481041
807	NEUTRAL	3.681948187
808	NEUTRAL	4.294649596
809	NEUTRAL	4.30954104
810	NEUTRAL	3.900007716
814	NEUTRAL	4.126103576
815	NEUTRAL	3.966629783
817	NEUTRAL	4.011222918
818	NEUTRAL	4.323621817
819	CONTRADICTION	4.2403869
821	NEUTRAL	1.745206375
823	ENTAILMENT	4.001809099
826	NEUTRAL	1.799137306
828	NEUTRAL	4.226547384
829	NEUTRAL	4.064507643
832	NEUTRAL	3.72280786
833	NEUTRAL	4.32873949
834	NEUTRAL	4.217611173
835	NEUTRAL	3.609152899
837	NEUTRAL	4.243745414
838	NEUTRAL	4.151787102
840	ENTAILMENT	3.499953115
842	NEUTRAL	3.773817287
843	NEUTRAL	3.623853248
847	NEUTRAL	3.806964119
849	NEUTRAL	3.555778187
850	NEUTRAL	3.799904207
853	NEUTRAL	4.46417695
854	CONTRADICTION	4.356719517
856	NEUTRAL	4.503844542
861	CONTRADICTION	4.284412181
863	NEUTRAL	4.459368287
865	ENTAILMENT	4.476865501
871	NEUTRAL	3.741499999
875	NEUTRAL	4.333881212
877	NEUTRAL	4.013728098
884	NEUTRAL	3.64238765
885	NEUTRAL	3.710657944
886	NEUTRAL	4.033889522
890	ENTAILMENT	4.207176198
891	CONTRADICTION	4.083879863
894	ENTAILMENT	3.323592371
896	NEUTRAL	3.020371978
897	CONTRADICTION	3.425439783
900	NEUTRAL	4.389264102
901	NEUTRAL	4.1845158
903	NEUTRAL	4.643977404
905	NEUTRAL	2.944738322
907	NEUTRAL	4.296563649
911	NEUTRAL	3.327729745
912	ENTAILMENT	4.857087081
914	NEUTRAL	4.365071841
916	NEUTRAL	4.009925593
918	NEUTRAL	4.074356662
919	ENTAILMENT	3.732077905
921	CONTRADICTION	4.27701559
923	NEUTRAL	3.99126526
924	NEUTRAL	3.911345931
925	NEUTRAL	3.839685835
926	NEUTRAL	4.236025073
928	NEUTRAL	3.826413656
929	NEUTRAL	4.25082084
930	NEUTRAL	4.29361034
934	NEUTRAL	4.377396562
937	NEUTRAL	4.053944668
938	NEUTRAL	3.876912117
939	NEUTRAL	3.906651563
941	NEUTRAL	3.787435971
942	NEUTRAL	3.30098369
946	NEUTRAL	3.740989292
951	NEUTRAL	3.890972466
952	ENTAILMENT	4.66161684
954	NEUTRAL	3.596925407
955	NEUTRAL	4.151885881
958	ENTAILMENT	4.610564487
964	CONTRADICTION	4.469531747
965	ENTAILMENT	4.62200924
966	ENTAILMENT	3.760381682
968	NEUTRAL	3.879180174
969	ENTAILMENT	3.768243986
971	NEUTRAL	2.80345346
972	ENTAILMENT	3.959062008
974	NEUTRAL	3.708044416
976	NEUTRAL	4.564958988
977	NEUTRAL	4.410428323
981	NEUTRAL	4.016769585
982	NEUTRAL	3.589710344
983	NEUTRAL	3.549539027
986	ENTAILMENT	4.566208475
990	ENTAILMENT	4.709469451
992	NEUTRAL	1.96129897
993	NEUTRAL	1.975028329
995	NEUTRAL	1.366847389
997	NEUTRAL	3.273519025
999	ENTAILMENT	4.440489966
1001	NEUTRAL	4.451741038
1003	NEUTRAL	2.743205664
1005	NEUTRAL	3.003772316
1006	NEUTRAL	2.763193189
1011	ENTAILMENT	4.257563726
1012	NEUTRAL	3.782811163
1013	ENTAILMENT	3.852056325
1014	NEUTRAL	4.019017214
1015	NEUTRAL	3.476531957
1017	NEUTRAL	4.248984881
1020	NEUTRAL	3.895218446
1023	NEUTRAL	3.090191201
1024	NEUTRAL	4.317448596
1025	NEUTRAL	4.238456556
1027	NEUTRAL	3.777686249
1030	NEUTRAL	2.114154645
1032	ENTAILMENT	4.40821431
1034	ENTAILMENT	4.379549548
1035	ENTAILMENT	4.519147654
1036	ENTAILMENT	4.462161015
1040	NEUTRAL	3.808449436
1041	NEUTRAL	4.287801466
1042	NEUTRAL	3.843851395
1051	NEUTRAL	3.607144722
1056	NEUTRAL	4.231585671
1058	NEUTRAL	3.365556722
1059	NEUTRAL	4.010528874
1060	NEUTRAL	3.947282904
1062	NEUTRAL	4.056904442
1063	NEUTRAL	4.064024087
1066	NEUTRAL	4.042872796
1067	NEUTRAL	3.712707754
1070	NEUTRAL	4.05110074
1071	NEUTRAL	4.54436495
1072	NEUTRAL	4.116473062
1073	NEUTRAL	4.412441672
1075	NEUTRAL	3.551867593
1077	NEUTRAL	4.425097124
1078	NEUTRAL	3.670760728
1079	NEUTRAL	4.519049909
1081	NEUTRAL	4.472441872
1085	NEUTRAL	4.498485608
1086	NEUTRAL	4.458018727
1089	NEUTRAL	4.239547013
1098	ENTAILMENT	4.580400444
1100	NEUTRAL	1.836551322
1101	NEUTRAL	1.213123641
1103	NEUTRAL	1.274229295
1106	NEUTRAL	4.468453443
1107	NEUTRAL	4.394068628
1110	CONTRADICTION	4.183898555
1113	NEUTRAL	1.074485922
1114	NEUTRAL	1.104565925
1116	NEUTRAL	1.227519505
1121	ENTAILMENT	4.236719118
1123	ENTAILMENT	4.428224203
1124	CONTRADICTION	4.149025146
1126	ENTAILMENT	3.897790342
1127	CONTRADICTION	4.043960925
1130	ENTAILMENT	3.820079336
1131	ENTAILMENT	4.037353539
1132	NEUTRAL	3.907077971
1134	NEUTRAL	4.043143535
1136	CONTRADICTION	3.956916521
1138	ENTAILMENT	4.032319648
1139	ENTAILMENT	2.181168212
1140	CONTRADICTION	4.042904344
1141	NEUTRAL	3.561971319
1142	CONTRADICTION	3.882714009
1143	NEUTRAL	1.058366454
1144	NEUTRAL	1.00125078
1146	NEUTRAL	1.027966839
1148	NEUTRAL	2.085701018
1150	NEUTRAL	4.031720763
1151	NEUTRAL	4.055119424
1152	NEUTRAL	3.558688054
1156	NEUTRAL	3.084905317
1158	NEUTRAL	3.820364815
1159	NEUTRAL	3.360117368
1160	NEUTRAL	4.024995461
1163	NEUTRAL	4.039025555
1164	NEUTRAL	3.852224147
1166	NEUTRAL	4.162167515
1168	NEUTRAL	4.809345662
1171	NEUTRAL	3.547165726
1172	ENTAILMENT	4.40637111
1173	CONTRADICTION	4.136575528
1174	ENTAILMENT	4.364696892
1176	NEUTRAL	4.482070059
1181	NEUTRAL	1.377707091
1183	NEUTRAL	1.417283531
1185	NEUTRAL	4.536718824
1186	NEUTRAL	4.086614408
1187	NEUTRAL	3.930950102
1189	NEUTRAL	4.423124372
1197	CONTRADICTION	3.921578174
1198	NEUTRAL	3.91406884
1199	ENTAILMENT	4.310113032
1201	NEUTRAL	3.854994895
1203	NEUTRAL	3.413634044
1204	NEUTRAL	4.239718714
1208	ENTAILMENT	4.300339003
1209	CONTRADICTION	4.331048662
1210	NEUTRAL	4.131759108
1211	CONTRADICTION	3.882152877
1216	CONTRADICTION	4.487894964
1217	NEUTRAL	4.203711147
1218	NEUTRAL	4.303187068
1220	NEUTRAL	4.204028949
1223	NEUTRAL	4.186997966
1224	NEUTRAL	4.390181565
1225	NEUTRAL	4.242570658
1226	NEUTRAL	4.268407266
1229	NEUTRAL	2.310425598
1231	NEUTRAL	2.846591145
1233	NEUTRAL	4.415791911
1234	CONTRADICTION	4.405443304
1235	NEUTRAL	3.200288278
1238	NEUTRAL	3.740646149
1243	CONTRADICTION	3.932712882
1245	NEUTRAL	3.705774808
1247	NEUTRAL	3.34514266
1250	NEUTRAL	2.998793503
1252	CONTRADICTION	4.467791464
1253	NEUTRAL	4.288463705
1254	NEUTRAL	3.662033454
1256	NEUTRAL	4.07358349
1257	NEUTRAL	4.68119024
1258	NEUTRAL	2.975596022
1260	NEUTRAL	4.097254183
1261	CONTRADICTION	4.138697484
1262	NEUTRAL	4.321659926
1263	NEUTRAL	2.531489247
1264	NEUTRAL	3.585813455
1265	NEUTRAL	3.442884762
1267	CONTRADICTION	4.308814931
1269	NEUTRAL	3.9434729
1272	CONTRADICTION	4.459774267
1277	NEUTRAL	1.417023394
1278	NEUTRAL	2.884164191
1279	NEUTRAL	2.029338346
1281	NEUTRAL	4.394430648
1285	NEUTRAL	4.173571928
1286	NEUTRAL	1.749394949
1288	CONTRADICTION	3.876423131
1289	NEUTRAL	3.526057877
1290	NEUTRAL	3.936702345
1295	NEUTRAL	3.648227812
1296	NEUTRAL	4.19637429
1298	NEUTRAL	4.160617034
1299	NEUTRAL	3.101212907
1300	NEUTRAL	3.932562644
1301	NEUTRAL	1.334882166
1304	NEUTRAL	3.215997112
1306	NEUTRAL	1.212117483
1307	NEUTRAL	1.307164991
1309	NEUTRAL	3.654367417
1310	NEUTRAL	3.850836317
1312	CONTRADICTION	4.466703334
1313	NEUTRAL	1.116744415
1314	NEUTRAL	1.064598245
1315	NEUTRAL	1.101208963
1316	NEUTRAL	1.060414972
1320	NEUTRAL	4.184545279
1322	NEUTRAL	1.552365048
1323	ENTAILMENT	4.289981604
1324	ENTAILMENT	4.317250002
1325	NEUTRAL	1.733399732
1327	ENTAILMENT	4.112135801
1330	ENTAILMENT	4.226061501
1331	ENTAILMENT	4.74944476
1332	ENTAILMENT	4.715678356
1334	ENTAILMENT	4.141271965
1337	ENTAILMENT	4.739805195
1338	ENTAILMENT	4.353280325
1339	ENTAILMENT	4.734996532
1340	NEUTRAL	3.870129927
1343	NEUTRAL	4.379052804
1347	NEUTRAL	4.140530341
1348	NEUTRAL	4.101258127
1349	NEUTRAL	3.187591453
1351	NEUTRAL	4.37021589
1353	NEUTRAL	3.792570453
1356	NEUTRAL	4.025977312
1357	NEUTRAL	3.79921973
1360	ENTAILMENT	4.275393223
1362	NEUTRAL	3.348953957
1363	CONTRADICTION	4.037859592
1364	ENTAILMENT	4.256879508
1366	NEUTRAL	3.978644459
1367	NEUTRAL	4.180502547
1369	NEUTRAL	4.450782718
1370	CONTRADICTION	4.435375654
1374	NEUTRAL	4.193201182
1375	NEUTRAL	4.416904347
1377	CONTRADICTION	4.482403376
1382	NEUTRAL	4.191840503
1383	NEUTRAL	3.833089826
1391	NEUTRAL	1.052303262
1392	NEUTRAL	1.035867026
1393	NEUTRAL	1.059425493
1394	NEUTRAL	3.413015248
1395	NEUTRAL	3.936080446
1397	CONTRADICTION	2.299221718
1398	NEUTRAL	3.007378037
1401	NEUTRAL	4.168432792
1402	NEUTRAL	2.78085189
1406	NEUTRAL	3.993665454
1411	NEUTRAL	2.304639351
1413	NEUTRAL	4.197620932
1416	NEUTRAL	4.394621743
1418	NEUTRAL	4.575376638
1420	NEUTRAL	4.464651197
1422	NEUTRAL	4.213898914
1423	NEUTRAL	4.501335742
1424	NEUTRAL	3.988222738
1425	NEUTRAL	1.907787724
1426	NEUTRAL	1.405341647
1428	NEUTRAL	2.495988767
1430	NEUTRAL	4.311933477
1433	NEUTRAL	4.235675982
1436	NEUTRAL	3.78524368
1437	NEUTRAL	3.567113041
1439	NEUTRAL	2.556303407
1440	CONTRADICTION	3.197997983
1441	NEUTRAL	4.003037124
1442	NEUTRAL	2.149058827
1445	NEUTRAL	4.220049637
1447	NEUTRAL	1.889723561
1449	NEUTRAL	4.344334805
1450	ENTAILMENT	4.258528251
1451	CONTRADICTION	4.234754124
1452	NEUTRAL	2.66391987
1454	NEUTRAL	3.207900529
1456	NEUTRAL	2.174015985
1457	NEUTRAL	4.293685071
1459	NEUTRAL	2.804416821
1460	NEUTRAL	1.266083581
1462	NEUTRAL	3.607482176
1465	NEUTRAL	1.175323944
1468	NEUTRAL	4.567173259
1471	NEUTRAL	2.152036702
1472	NEUTRAL	2.446401045
1475	NEUTRAL	4.016181561
1477	NEUTRAL	4.346481068
1478	CONTRADICTION	4.451209902
1485	CONTRADICTION	4.280241708
1490	ENTAILMENT	4.694754879
1491	NEUTRAL	4.111029312
1492	NEUTRAL	3.760296866
1496	CONTRADICTION	4.128533507
1497	NEUTRAL	4.444967639
1500	CONTRADICTION	3.954703284
1502	NEUTRAL	4.410356953
1507	NEUTRAL	2.48206521
1508	NEUTRAL	2.637756021
1510	NEUTRAL	2.952693846
1512	NEUTRAL	3.586692647
1515	NEUTRAL	2.51264687
1516	NEUTRAL	2.517313828
1518	NEUTRAL	1.444079881
1520	NEUTRAL	3.719296264
1522	NEUTRAL	3.692820431
1526	NEUTRAL	2.621548505
1528	NEUTRAL	2.450009353
1529	NEUTRAL	4.120524585
1530	NEUTRAL	3.951639818
1533	NEUTRAL	1.166225729
1537	NEUTRAL	1.217010962
1539	CONTRADICTION	4.255341956
1540	NEUTRAL	4.424093552
1542	NEUTRAL	4.132302655
1543	CONTRADICTION	4.248195159
1544	NEUTRAL	4.284184108
1546	NEUTRAL	4.311752984
1548	CONTRADICTION	2.94796069
1554	NEUTRAL	2.876333693
1555	NEUTRAL	3.67898893
1556	NEUTRAL	3.92176358
1560	NEUTRAL	4.453097062
1561	NEUTRAL	3.962363633
1562	NEUTRAL	4.161578197
1564	NEUTRAL	4.155463676
1567	NEUTRAL	3.873436464
1568	NEUTRAL	3.688424988
1569	NEUTRAL	3.809893638
1571	NEUTRAL	4.145538632
1572	NEUTRAL	2.735330948
1577	NEUTRAL	3.190547348
1578	NEUTRAL	4.470369048
1579	NEUTRAL	4.222719278
1581	CONTRADICTION	4.354544293
1583	NEUTRAL	4.024151178
1589	NEUTRAL	4.370273814
1590	NEUTRAL	4.291051115
1593	ENTAILMENT	4.578557244
1594	NEUTRAL	4.0166134
1596	NEUTRAL	4.28576924
1597	NEUTRAL	4.194053223
1598	NEUTRAL	4.582086941
1600	NEUTRAL	4.026986314
1602	NEUTRAL	4.264323678
1603	NEUTRAL	4.260945512
1605	NEUTRAL	4.078679442
1611	ENTAILMENT	4.561196822
1613	ENTAILMENT	4.430385981
1616	NEUTRAL	2.778500698
1617	ENTAILMENT	4.581974198
1619	NEUTRAL	4.695543566
1620	NEUTRAL	4.133296659
1622	NEUTRAL	1.333778909
1623	NEUTRAL	1.301548377
1624	NEUTRAL	1.133902494
1630	NEUTRAL	4.088077746
1633	NEUTRAL	4.501768097
1634	CONTRADICTION	4.444599413
1636	NEUTRAL	4.246155434
1637	NEUTRAL	4.507484655
1638	NEUTRAL	2.75927432
1642	NEUTRAL	3.798689112
1644	CONTRADICTION	4.225461323
1645	NEUTRAL	4.423105237
1654	CONTRADICTION	3.93325643
1656	ENTAILMENT	4.688703711
1658	NEUTRAL	4.2662398
1662	NEUTRAL	4.455928319
1664	NEUTRAL	4.307852474
1665	NEUTRAL	3.782603001
1666	NEUTRAL	4.174384922
1667	ENTAILMENT	4.676929262
1672	NEUTRAL	1.037154266
1674	ENTAILMENT	1.248408202
